"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"SMYD3","Brain Prefrontal cortex","PTSD","Weighted mode",4," 0.005","0.017","1.005","7.96e-01",0.961235857,0.96206462,0.691720977,0.002518047
"PTPRJ","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.006","0.025","1.007","7.96e-01",NA,NA,NA,0.008679843
"BTBD9","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.009","0.035","0.991","7.97e-01",NA,NA,NA,0.007433405
"CLUL1","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.009","0.033","0.991","7.97e-01",NA,NA,NA,0.00515573
"EIF2AK4","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.013","0.052","1.013","7.97e-01",NA,NA,NA,0.013414354
"COLEC11","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.007","0.027","0.993","7.99e-01",NA,NA,NA,0.010413299
"KLK7","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.009","0.034","0.991","7.99e-01",NA,NA,NA,0.008411584
"EIF3B","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.005","0.019","0.995","8.03e-01",NA,NA,NA,0.007555249
"NBPF3","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.007","0.028","0.993","8.03e-01",NA,NA,NA,0.007555249
"SNTG2","Brain Prefrontal cortex","PTSD","MR Egger",3,"-0.013","0.040","0.987","8.05e-01",0.619491169,0.837229082,0.79722544,0.013790183
"DIRAS1","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.006","0.026","0.994","8.07e-01",NA,NA,NA,0.009548437
"CAPN9","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.005","0.019","1.005","8.08e-01",NA,NA,NA,0.007744636
"ZNF385D","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.007","0.029","0.993","8.08e-01",NA,NA,NA,0.014319473
"LAPTM5","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.009","0.036","1.009","8.11e-01",NA,NA,NA,0.007212204
"SLC35E2B","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.007","0.030","0.993","8.13e-01",NA,NA,NA,0.00793339
"HELZ2","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.008","0.035","0.992","8.13e-01",NA,NA,NA,0.007652241
"COL23A1","Brain Prefrontal cortex","PTSD","Inverse variance weighted",2," 0.007","0.028","1.007","8.13e-01",NA,0.037619908,NA,0.007655456
"DROSHA","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.008","0.034","1.008","8.15e-01",NA,NA,NA,0.010358893
"KYAT1","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.013","0.057","0.987","8.16e-01",NA,NA,NA,0.008276239
"SMOC2","Brain Prefrontal cortex","PTSD","Inverse variance weighted",2,"-0.004","0.016","0.996","8.16e-01",NA,0.319879318,NA,0.009208774
"PIP5K1C","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.005","0.022","1.005","8.16e-01",NA,NA,NA,0.014036124
"MATN2","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.008","0.035","1.008","8.20e-01",NA,NA,NA,0.007344885
"PSD4","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.007","0.033","1.007","8.24e-01",NA,NA,NA,0.007507799
"SMYD3","Brain Prefrontal cortex","PTSD","Simple mode",4," 0.004","0.018","1.004","8.24e-01",0.961235857,0.96206462,0.691720977,0.002518047
"PTDSS1","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.005","0.023","0.995","8.24e-01",NA,NA,NA,0.007555831
