Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
ITGB2,Brain Hippocampus,ANX,Wald ratio,1,1.056,8.89E-03,NA,NA,NA,0.335946553
ITGB2,Brain Hypothalamus,ANX,Wald ratio,1,1.054,8.89E-03,NA,NA,NA,0.335946553
ITGB2,Brain Nucleus accumbens basal ganglia,ANX,Wald ratio,1,1.05,8.89E-03,NA,NA,NA,0.335946553
ITGB2,Brain Putamen basal ganglia,ANX,Wald ratio,1,1.057,8.89E-03,NA,NA,NA,0.335946553
ITGB2,Brain Spinal cord cervical,ANX,Wald ratio,1,1.055,8.89E-03,NA,NA,NA,0.335946553
ITGB2,Brain Substantia nigra,ANX,Wald ratio,1,1.054,8.89E-03,NA,NA,NA,0.335946553
NFIB,Brain Putamen basal ganglia,ANX,Wald ratio,1,1.148,8.98E-03,NA,NA,NA,0.003231627
IDH3B,Brain Hippocampus,ANX,Wald ratio,1,1.157,9.03E-03,NA,NA,NA,0.003024463
SLCO1A2,Brain Spinal cord cervical,ANX,Wald ratio,1,1.098,9.03E-03,NA,NA,NA,0.04961519
LYPLAL1,Brain Spinal cord cervical,ANX,Wald ratio,1,0.867,9.05E-03,NA,NA,NA,0.00545833
MFN2,Brain Nucleus accumbens basal ganglia,ANX,Wald ratio,1,0.893,9.08E-03,NA,NA,NA,0.275105102
CCDC92,Brain Hypothalamus,ANX,Wald ratio,1,0.941,9.15E-03,NA,NA,NA,0.280694533
CCDC92,Brain Nucleus accumbens basal ganglia,ANX,Wald ratio,1,0.924,9.15E-03,NA,NA,NA,0.280694533
CCDC92,Brain Substantia nigra,ANX,Wald ratio,1,0.929,9.15E-03,NA,NA,NA,0.276011299
AC092070.2,Brain Cortex,ANX,Wald ratio,1,2.477,9.20E-03,NA,NA,NA,0.353177155
ST3GAL3,Brain Substantia nigra,ANX,Wald ratio,1,1.122,9.20E-03,NA,NA,NA,0.000530119
VEGFA,Brain Hippocampus,ANX,Wald ratio,1,0.799,9.23E-03,NA,NA,NA,0.002418457
TUB,Brain Hippocampus,ANX,Wald ratio,1,0.861,9.32E-03,NA,NA,NA,0.00115222
